Termino,Snomed,CIE-10-ES
hipertensión arterial,,
ataxia,,
marcha,,
incontinencia,,
esfínteres,,
trastorno,,
funciones superiores,,
neuroimagen,,
HCA,,
DLE,,
cefaleas,,
vómitos,,
510 ml,,
LCR,,
TC craneal,,
hematoma,,
hemisferio cerebeloso izquierdo,,
RM cerebral,,
