Termino,Snomed,CIE-10-ES
pancolitis ulcerosa,,
diarrea,,
pérdida de peso,,
15 kg,,
azatioprina,,
colitis ulcerosa,,
cortirrefractariedad,,
citoaféresis,,
micofenolato-mofetil,,
