Termino,Snomed,CIE-10-ES
neurofibromatosis,,
tipo 1,,
resonancia magnética nuclear,,
exploración biomicroscópica,,
funduscopia,,
neuroimagen,,
glioma,,
nervio óptico,,
proptosis,,
