Termino,Snomed,CIE-10-ES
gastrectomía parcial,,
ulcus gástrico,,
péptico,,
Billroth II,,
dolor abdominal,,
amilasa,,
550 unidades interlacionales,,
lipasa,,
5976 unidades interlacionales,,
ecografía abdominal,,
dilatación,,
vías biliares,,
TAC,,
RMN,,
endoscopia digestiva alta,,
infiltración neoplásica,,
gastrectomía total,,
anastomosis,,
esófago-yeyunal,,
