Termino,Snomed,CIE-10-ES
Amigdalitis,,
repetición,,
transaminasas,,
TTG,,
DQ2,,
DQ8,,
biopsia duodenal,,
atrofia moderada,,
vellosidades intestinales,,
infiltrado inflamatorio,,
DSG,,
